,uid,datetime,lat,lng
0,1d,2019-01-01 08:00:00.000000,34.0000323716858,-6.854876780023617
1,1d,2019-01-01 21:00:00.000000,34.000416290775604,-6.8570331738950285
2,1d,2019-01-02 08:00:00.000000,34.0000323716858,-6.854876780023617
3,1d,2019-01-02 17:00:00.000000,34.00229617808194,-6.852955074799136
4,1d,2019-01-02 18:00:00.000000,34.0000323716858,-6.854876780023617
5,1d,2019-01-03 19:00:00.000000,34.000416290775604,-6.8570331738950285
6,1d,2019-01-03 20:00:00.000000,34.0000323716858,-6.854876780023617
7,1d,2019-01-05 11:00:00.000000,34.000416290775604,-6.8570331738950285
8,1d,2019-01-05 19:00:00.000000,34.0000323716858,-6.854876780023617
9,1d,2019-01-06 09:00:00.000000,34.000416290775604,-6.8570331738950285
10,1d,2019-01-06 12:00:00.000000,34.0000323716858,-6.854876780023617
11,1d,2019-01-07 09:00:00.000000,34.000416290775604,-6.8570331738950285
12,1d,2019-01-07 12:00:00.000000,34.00229617808194,-6.852955074799136
13,1d,2019-01-07 15:00:00.000000,34.0000323716858,-6.854876780023617
14,1d,2019-01-08 08:00:00.000000,34.000416290775604,-6.8570331738950285
15,1d,2019-01-08 11:00:00.000000,34.0000323716858,-6.854876780023617
16,1d,2019-01-08 15:00:00.000000,34.000416290775604,-6.8570331738950285
17,1d,2019-01-09 08:00:00.000000,34.0000323716858,-6.854876780023617
18,1d,2019-01-09 12:00:00.000000,34.000416290775604,-6.8570331738950285
19,1d,2019-01-09 21:00:00.000000,34.0000323716858,-6.854876780023617
20,1d,2019-01-10 13:00:00.000000,34.000416290775604,-6.8570331738950285
21,1d,2019-01-10 14:00:00.000000,34.0000323716858,-6.854876780023617
22,1d,2019-01-11 04:00:00.000000,34.0000323716858,-6.854876780023617
23,1d,2019-01-12 21:00:00.000000,34.000416290775604,-6.8570331738950285
24,1d,2019-01-12 22:00:00.000000,34.0000323716858,-6.854876780023617
25,1d,2019-01-13 08:00:00.000000,34.0000323716858,-6.854876780023617
26,1d,2019-01-13 14:00:00.000000,34.000416290775604,-6.8570331738950285
27,1d,2019-01-13 15:00:00.000000,34.0000323716858,-6.854876780023617
28,1d,2019-01-13 16:00:00.000000,34.0000323716858,-6.854876780023617
29,1d,2019-01-14 14:00:00.000000,34.00229617808194,-6.852955074799136
30,1d,2019-01-14 22:00:00.000000,34.0000323716858,-6.854876780023617
31,2d,2019-01-01 08:00:00.000000,34.0000323716858,-6.854876780023617
32,2d,2019-01-01 09:00:00.000000,33.99968865979286,-6.852435083760751
33,2d,2019-01-02 02:00:00.000000,34.0000323716858,-6.854876780023617
34,2d,2019-01-02 03:00:00.000000,34.0000323716858,-6.854876780023617
35,2d,2019-01-02 11:00:00.000000,33.99968865979286,-6.852435083760751
36,2d,2019-01-02 16:00:00.000000,34.0000323716858,-6.854876780023617
37,2d,2019-01-03 09:00:00.000000,33.99968865979286,-6.852435083760751
38,2d,2019-01-03 12:00:00.000000,34.0000323716858,-6.854876780023617
39,2d,2019-01-03 18:00:00.000000,33.99968865979286,-6.852435083760751
40,2d,2019-01-03 22:00:00.000000,34.0000323716858,-6.854876780023617
41,2d,2019-01-04 02:00:00.000000,34.0000323716858,-6.854876780023617
42,2d,2019-01-04 11:00:00.000000,34.000416290775604,-6.8570331738950285
43,2d,2019-01-04 17:00:00.000000,33.99968865979286,-6.852435083760751
44,2d,2019-01-04 18:00:00.000000,34.0000323716858,-6.854876780023617
45,2d,2019-01-05 08:00:00.000000,34.0000323716858,-6.854876780023617
46,2d,2019-01-05 22:00:00.000000,33.99968865979286,-6.852435083760751
47,2d,2019-01-06 08:00:00.000000,34.0000323716858,-6.854876780023617
48,2d,2019-01-06 14:00:00.000000,33.99968865979286,-6.852435083760751
49,2d,2019-01-06 17:00:00.000000,34.0000323716858,-6.854876780023617
50,2d,2019-01-06 18:00:00.000000,33.99968865979286,-6.852435083760751
51,2d,2019-01-06 19:00:00.000000,34.0000323716858,-6.854876780023617
52,2d,2019-01-07 09:00:00.000000,33.99968865979286,-6.852435083760751
53,2d,2019-01-07 12:00:00.000000,34.0000323716858,-6.854876780023617
54,2d,2019-01-08 22:00:00.000000,33.99968865979286,-6.852435083760751
55,2d,2019-01-09 19:00:00.000000,34.0000323716858,-6.854876780023617
56,2d,2019-01-09 20:00:00.000000,34.0000323716858,-6.854876780023617
57,2d,2019-01-10 17:00:00.000000,34.000416290775604,-6.8570331738950285
58,2d,2019-01-10 21:00:00.000000,34.0000323716858,-6.854876780023617
59,2d,2019-01-11 08:00:00.000000,34.0000323716858,-6.854876780023617
60,2d,2019-01-11 17:00:00.000000,33.99968865979286,-6.852435083760751
61,2d,2019-01-11 18:00:00.000000,34.0000323716858,-6.854876780023617
62,2d,2019-01-12 00:00:00.000000,33.99968865979286,-6.852435083760751
63,2d,2019-01-12 01:00:00.000000,34.0000323716858,-6.854876780023617
64,2d,2019-01-12 02:00:00.000000,34.0000323716858,-6.854876780023617
65,3d,2019-01-01 08:00:00.000000,33.99931417249296,-6.847532410733636
66,3d,2019-01-01 21:00:00.000000,34.00533864884077,-6.849223529214748
67,3d,2019-01-02 09:00:00.000000,33.99931417249296,-6.847532410733636
68,3d,2019-01-02 13:00:00.000000,34.00533864884077,-6.849223529214748
69,3d,2019-01-02 15:00:00.000000,33.99931417249296,-6.847532410733636
70,3d,2019-01-02 17:00:00.000000,34.00533864884077,-6.849223529214748
71,3d,2019-01-02 18:00:00.000000,33.99931417249296,-6.847532410733636
72,3d,2019-01-02 23:00:00.000000,33.99931417249296,-6.847532410733636
73,3d,2019-01-03 11:00:00.000000,34.00533864884077,-6.849223529214748
74,3d,2019-01-03 18:00:00.000000,33.99931417249296,-6.847532410733636
75,3d,2019-01-03 19:00:00.000000,34.00533864884077,-6.849223529214748
76,3d,2019-01-04 13:00:00.000000,33.99931417249296,-6.847532410733636
77,3d,2019-01-04 15:00:00.000000,33.99931417249296,-6.847532410733636
78,3d,2019-01-06 13:00:00.000000,34.00533864884077,-6.849223529214748
79,3d,2019-01-06 14:00:00.000000,34.00229617808194,-6.852955074799136
80,3d,2019-01-07 04:00:00.000000,33.99931417249296,-6.847532410733636
81,3d,2019-01-07 12:00:00.000000,34.00533864884077,-6.849223529214748
82,3d,2019-01-07 17:00:00.000000,33.99931417249296,-6.847532410733636
83,3d,2019-01-07 18:00:00.000000,34.00533864884077,-6.849223529214748
84,3d,2019-01-08 17:00:00.000000,34.00229617808194,-6.852955074799136
85,3d,2019-01-08 18:00:00.000000,33.99931417249296,-6.847532410733636
86,3d,2019-01-08 19:00:00.000000,34.00533864884077,-6.849223529214748
87,3d,2019-01-08 20:00:00.000000,33.99931417249296,-6.847532410733636
88,3d,2019-01-09 06:00:00.000000,33.99931417249296,-6.847532410733636
89,3d,2019-01-09 18:00:00.000000,34.000416290775604,-6.8570331738950285
90,3d,2019-01-09 21:00:00.000000,33.99931417249296,-6.847532410733636
91,3d,2019-01-10 07:00:00.000000,33.99931417249296,-6.847532410733636
92,3d,2019-01-10 14:00:00.000000,34.00533864884077,-6.849223529214748
93,3d,2019-01-10 22:00:00.000000,33.99931417249296,-6.847532410733636
94,3d,2019-01-11 00:00:00.000000,34.00533864884077,-6.849223529214748
95,3d,2019-01-11 01:00:00.000000,33.99931417249296,-6.847532410733636
96,3d,2019-01-11 02:00:00.000000,33.99931417249296,-6.847532410733636
97,3d,2019-01-11 08:00:00.000000,34.0000323716858,-6.854876780023617
98,3d,2019-01-11 12:00:00.000000,33.99931417249296,-6.847532410733636
99,3d,2019-01-12 23:00:00.000000,34.00229617808194,-6.852955074799136
100,3d,2019-01-13 09:00:00.000000,33.99931417249296,-6.847532410733636
101,3d,2019-01-13 18:00:00.000000,34.00533864884077,-6.849223529214748
102,3d,2019-01-13 19:00:00.000000,33.99931417249296,-6.847532410733636
103,3d,2019-01-13 22:00:00.000000,33.99931417249296,-6.847532410733636
104,3d,2019-01-14 01:00:00.000000,34.00229617808194,-6.852955074799136
105,3d,2019-01-14 12:00:00.000000,33.99931417249296,-6.847532410733636
106,3d,2019-01-14 19:00:00.000000,34.00533864884077,-6.849223529214748
107,3d,2019-01-14 22:00:00.000000,33.99931417249296,-6.847532410733636
108,4d,2019-01-01 08:00:00.000000,33.99968865979286,-6.852435083760751
109,4d,2019-01-03 14:00:00.000000,34.0000323716858,-6.854876780023617
110,4d,2019-01-03 15:00:00.000000,33.99968865979286,-6.852435083760751
111,4d,2019-01-04 08:00:00.000000,34.0000323716858,-6.854876780023617
112,4d,2019-01-04 10:00:00.000000,33.99968865979286,-6.852435083760751
113,4d,2019-01-04 20:00:00.000000,34.0000323716858,-6.854876780023617
114,4d,2019-01-05 08:00:00.000000,33.99968865979286,-6.852435083760751
115,4d,2019-01-06 20:00:00.000000,33.99931417249296,-6.847532410733636
116,4d,2019-01-07 08:00:00.000000,34.00327428626773,-6.844882613883393
117,4d,2019-01-07 10:00:00.000000,33.99931417249296,-6.847532410733636
118,4d,2019-01-07 12:00:00.000000,33.99968865979286,-6.852435083760751
119,4d,2019-01-07 13:00:00.000000,34.000416290775604,-6.8570331738950285
120,4d,2019-01-08 04:00:00.000000,33.99968865979286,-6.852435083760751
121,4d,2019-01-08 11:00:00.000000,34.0000323716858,-6.854876780023617
122,4d,2019-01-08 18:00:00.000000,34.000416290775604,-6.8570331738950285
123,4d,2019-01-08 21:00:00.000000,33.99931417249296,-6.847532410733636
124,4d,2019-01-09 08:00:00.000000,34.00327428626773,-6.844882613883393
125,4d,2019-01-09 11:00:00.000000,33.99931417249296,-6.847532410733636
126,4d,2019-01-09 12:00:00.000000,33.99968865979286,-6.852435083760751
127,4d,2019-01-09 13:00:00.000000,34.000416290775604,-6.8570331738950285
128,4d,2019-01-09 15:00:00.000000,33.99968865979286,-6.852435083760751
129,4d,2019-01-09 23:00:00.000000,34.00327428626773,-6.844882613883393
130,4d,2019-01-10 08:00:00.000000,33.99968865979286,-6.852435083760751
131,4d,2019-01-12 18:00:00.000000,34.0000323716858,-6.854876780023617
132,4d,2019-01-12 22:00:00.000000,33.99931417249296,-6.847532410733636
133,4d,2019-01-13 02:00:00.000000,33.99968865979286,-6.852435083760751
134,4d,2019-01-14 00:00:00.000000,34.0000323716858,-6.854876780023617
135,4d,2019-01-14 03:00:00.000000,33.99968865979286,-6.852435083760751
136,4d,2019-01-14 18:00:00.000000,34.0000323716858,-6.854876780023617
137,4d,2019-01-14 21:00:00.000000,33.99968865979286,-6.852435083760751
138,5d,2019-01-01 08:00:00.000000,34.00327428626773,-6.844882613883393
139,5d,2019-01-05 18:00:00.000000,34.000416290775604,-6.8570331738950285
140,5d,2019-01-05 20:00:00.000000,34.00327428626773,-6.844882613883393
141,5d,2019-01-05 21:00:00.000000,34.000416290775604,-6.8570331738950285
142,5d,2019-01-05 23:00:00.000000,34.00327428626773,-6.844882613883393
143,5d,2019-01-06 21:00:00.000000,33.99931417249296,-6.847532410733636
144,5d,2019-01-07 06:00:00.000000,34.00327428626773,-6.844882613883393
145,5d,2019-01-07 20:00:00.000000,34.000416290775604,-6.8570331738950285
