,uid,datetime,lat,lng,zone_id,datetime_clipped,ble_users
31,1d,2019-01-01 17:00:00.000000,33.99968865979286,-6.852435083760751,EMI,1546362000000000000,17d
32,1d,2019-01-01 22:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1546380000000000000,"11d,32d,96d,111d,120d,137d,29f"
39,1d,2019-01-02 12:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1546430400000000000,"2d,120d"
41,1d,2019-01-03 08:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1546502400000000000,"18d,63d,75d,77d,29c,26f,29f,57f,75f,79f,123f"
52,1d,2019-01-04 09:00:00.000000,33.99968865979286,-6.852435083760751,EMI,1546592400000000000,"3d,14d,113d"
55,1d,2019-01-04 12:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1546603200000000000,"30d,111d,113d,137d"
59,1d,2019-01-04 15:00:00.000000,33.99968865979286,-6.852435083760751,EMI,1546614000000000000,"40d,82f"
61,1d,2019-01-05 15:00:00.000000,34.000416290775604,-6.8570331738950285,Gare,1546700400000000000,"17d,105d,82f"
64,1d,2019-01-05 19:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1546714800000000000,"28d,30d,44d,62d,85d"
69,1d,2019-01-05 21:00:00.000000,34.000416290775604,-6.8570331738950285,Gare,1546722000000000000,"21d,28d,29d,70d,91d,134d,57f,86f"
77,1d,2019-01-06 08:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1546761600000000000,"11d,15d,28d,38d,63d,77d,29f,86f,123f,146f"
87,1d,2019-01-07 00:00:00.000000,34.000416290775604,-6.8570331738950285,Gare,1546819200000000000,"45d,70d,117c"
90,1d,2019-01-08 22:00:00.000000,34.000416290775604,-6.8570331738950285,Gare,1546984800000000000,"12d,29d,63d,88d,103d,118d"
96,1d,2019-01-09 19:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1547060400000000000,"62d,74d,118d,26f"
100,1d,2019-01-11 08:00:00.000000,34.000416290775604,-6.8570331738950285,Gare,1547193600000000000,"11d,35d,93d,110d,126d"
105,1d,2019-01-11 12:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1547208000000000000,"11d,64d,117d,75f,86f"
110,1d,2019-01-11 16:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1547222400000000000,75f
111,1d,2019-01-11 18:00:00.000000,34.000416290775604,-6.8570331738950285,Gare,1547229600000000000,"17d,116d,139d,14f,137f"
116,1d,2019-01-12 08:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1547280000000000000,"8d,17d,31d,38d,63d,104d,116d,146d,51f,57f,98f"
127,1d,2019-01-12 22:00:00.000000,34.000416290775604,-6.8570331738950285,Gare,1547330400000000000,"57d,61d,101d,113d,134d,139d,141d,28f,88f,136f"
137,1d,2019-01-13 19:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1547406000000000000,109d
138,1d,2019-01-13 22:00:00.000000,34.0000323716858,-6.854876780023618,ENIM,1547416800000000000,"2d,6d,31d,44d,91d,143d"
174,2d,2019-01-01 11:00:00.000000,33.99931417249296,-6.847532410733637,Maisons 1,1546340400000000000,"15d,120f"
176,2d,2019-01-01 18:00:00.000000,34.00533864884077,-6.849223529214747,Maisons 2,1546365600000000000,"43d,83d"
178,2d,2019-01-01 19:00:00.000000,33.99931417249296,-6.847532410733637,Maisons 1,1546369200000000000,"86d,132d"
